Personality,Description
Brave,"Never backs down from a challenge, even against the odds"
Curious,"Always asking questions and poking around where they shouldn't"
Greedy,"Motivated by wealth and always looking for the next payout"
Loyal,"Fiercely devoted to friends and allies, even at personal cost"
Sarcastic,"Uses humour and wit to deflect serious situations"
Reckless,"Acts first and thinks later, often getting into trouble"
Cautious,"Weighs every decision carefully before acting"
Compassionate,"Quick to help those in need, sometimes to a fault"
Arrogant,"Believes they are always the smartest person in the room"
Honest,"Values the truth above tact or comfort"
Paranoid,"Distrustful of strangers and quick to suspect betrayal"
Cheerful,"Stays upbeat and optimistic no matter the situation"
Vengeful,"Holds grudges and will go out of their way to settle scores"
Stoic,"Rarely shows emotion, preferring calm logic over feeling"
Charming,"Naturally likeable and persuasive in conversation"
Superstitious,"Believes strongly in omens, luck, and old rituals"
Ambitious,"Driven to rise in power, status, or renown"
Naive,"Trusts too easily and struggles to see deception"
Grumpy,"Constantly irritated and quick to complain"
Wise,"Thoughtful and measured, often sought out for advice"
